LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4001,USB IN,LINE OUT,16,44100,1
3633,USB IN,LINE OUT,16,44100,1
4133,USB IN,LINE OUT,16,44100,1
3621,USB IN,LINE OUT,16,44100,1
4115,USB IN,LINE OUT,16,44100,1
3656,USB IN,LINE OUT,16,44100,1
4934,USB IN,LINE OUT,16,44100,1
3665,USB IN,LINE OUT,16,44100,1
4043,USB IN,LINE OUT,16,44100,1
4349,USB IN,LINE OUT,16,44100,1
3722,USB IN,LINE OUT,16,44100,1
3938,USB IN,LINE OUT,16,44100,1
4393,USB IN,LINE OUT,16,44100,1
3552,USB IN,LINE OUT,16,44100,1
3689,USB IN,LINE OUT,16,44100,1
4059,USB IN,LINE OUT,16,44100,1
4154,USB IN,LINE OUT,16,44100,1
4485,USB IN,LINE OUT,16,44100,1
3683,USB IN,LINE OUT,16,44100,1
4307,USB IN,LINE OUT,16,44100,1
4163,USB IN,LINE OUT,16,44100,1
4082,USB IN,LINE OUT,16,44100,1
3529,USB IN,LINE OUT,16,44100,1
4891,USB IN,LINE OUT,16,44100,1
4219,USB IN,LINE OUT,16,44100,1
3506,USB IN,LINE OUT,16,44100,1
3742,USB IN,LINE OUT,16,44100,1
3972,USB IN,LINE OUT,16,44100,1
4190,USB IN,LINE OUT,16,44100,1
3624,USB IN,LINE OUT,16,44100,1
3792,USB IN,LINE OUT,16,44100,1
3982,USB IN,LINE OUT,16,44100,1
4373,USB IN,LINE OUT,16,44100,1
4394,USB IN,LINE OUT,16,44100,1
3560,USB IN,LINE OUT,16,44100,1
3989,USB IN,LINE OUT,16,44100,1
4246,USB IN,LINE OUT,16,44100,1
4445,USB IN,LINE OUT,16,44100,1
3732,USB IN,LINE OUT,16,44100,1
4173,USB IN,LINE OUT,16,44100,1
3569,USB IN,LINE OUT,16,44100,1
3808,USB IN,LINE OUT,16,44100,1
4234,USB IN,LINE OUT,16,44100,1
4491,USB IN,LINE OUT,16,44100,1
3930,USB IN,LINE OUT,16,44100,1
4123,USB IN,LINE OUT,16,44100,1
3559,USB IN,LINE OUT,16,44100,1
3929,USB IN,LINE OUT,16,44100,1
4100,USB IN,LINE OUT,16,44100,1
4491,USB IN,LINE OUT,16,44100,1
4780,USB IN,LINE OUT,16,44100,1
4157,USB IN,LINE OUT,16,44100,1
4919,USB IN,LINE OUT,16,44100,1
3560,USB IN,LINE OUT,16,44100,1
4029,USB IN,LINE OUT,16,44100,1
4239,USB IN,LINE OUT,16,44100,1
4459,USB IN,LINE OUT,16,44100,1
4414,USB IN,LINE OUT,16,44100,1
4214,USB IN,LINE OUT,16,44100,1
4420,USB IN,LINE OUT,16,44100,1
3599,USB IN,LINE OUT,16,44100,1
3821,USB IN,LINE OUT,16,44100,1
4212,USB IN,LINE OUT,16,44100,1
3632,USB IN,LINE OUT,16,44100,1
4046,USB IN,LINE OUT,16,44100,1
4176,USB IN,LINE OUT,16,44100,1
