LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
4568,USB IN,LINE OUT,16,44100,1
4554,USB IN,LINE OUT,16,44100,1
5451,USB IN,LINE OUT,16,44100,1
5461,USB IN,LINE OUT,16,44100,1
4548,USB IN,LINE OUT,16,44100,1
4559,USB IN,LINE OUT,16,44100,1
4551,USB IN,LINE OUT,16,44100,1
4659,USB IN,LINE OUT,16,44100,1
4517,USB IN,LINE OUT,16,44100,1
4575,USB IN,LINE OUT,16,44100,1
4550,USB IN,LINE OUT,16,44100,1
4467,USB IN,LINE OUT,16,44100,1
4569,USB IN,LINE OUT,16,44100,1
4405,USB IN,LINE OUT,16,44100,1
4587,USB IN,LINE OUT,16,44100,1
4516,USB IN,LINE OUT,16,44100,1
4575,USB IN,LINE OUT,16,44100,1
4475,USB IN,LINE OUT,16,44100,1
4513,USB IN,LINE OUT,16,44100,1
4468,USB IN,LINE OUT,16,44100,1
4524,USB IN,LINE OUT,16,44100,1
4357,USB IN,LINE OUT,16,44100,1
4547,USB IN,LINE OUT,16,44100,1
4686,USB IN,LINE OUT,16,44100,1
5074,USB IN,LINE OUT,16,44100,1
4534,USB IN,LINE OUT,16,44100,1
4489,USB IN,LINE OUT,16,44100,1
4547,USB IN,LINE OUT,16,44100,1
4451,USB IN,LINE OUT,16,44100,1
4470,USB IN,LINE OUT,16,44100,1
5418,USB IN,LINE OUT,16,44100,1
4433,USB IN,LINE OUT,16,44100,1
5414,USB IN,LINE OUT,16,44100,1
4640,USB IN,LINE OUT,16,44100,1
5069,USB IN,LINE OUT,16,44100,1
4615,USB IN,LINE OUT,16,44100,1
4493,USB IN,LINE OUT,16,44100,1
4508,USB IN,LINE OUT,16,44100,1
4520,USB IN,LINE OUT,16,44100,1
4527,USB IN,LINE OUT,16,44100,1
4467,USB IN,LINE OUT,16,44100,1
4426,USB IN,LINE OUT,16,44100,1
4615,USB IN,LINE OUT,16,44100,1
4674,USB IN,LINE OUT,16,44100,1
4504,USB IN,LINE OUT,16,44100,1
4704,USB IN,LINE OUT,16,44100,1
4497,USB IN,LINE OUT,16,44100,1
4470,USB IN,LINE OUT,16,44100,1
4448,USB IN,LINE OUT,16,44100,1
4480,USB IN,LINE OUT,16,44100,1
4574,USB IN,LINE OUT,16,44100,1
4487,USB IN,LINE OUT,16,44100,1
4562,USB IN,LINE OUT,16,44100,1
4515,USB IN,LINE OUT,16,44100,1
4317,USB IN,LINE OUT,16,44100,1
4434,USB IN,LINE OUT,16,44100,1
4428,USB IN,LINE OUT,16,44100,1
4579,USB IN,LINE OUT,16,44100,1
4448,USB IN,LINE OUT,16,44100,1
4927,USB IN,LINE OUT,16,44100,1
4362,USB IN,LINE OUT,16,44100,1
4523,USB IN,LINE OUT,16,44100,1
4603,USB IN,LINE OUT,16,44100,1
4612,USB IN,LINE OUT,16,44100,1
4597,USB IN,LINE OUT,16,44100,1
4685,USB IN,LINE OUT,16,44100,1
4511,USB IN,LINE OUT,16,44100,1
4606,USB IN,LINE OUT,16,44100,1
4974,USB IN,LINE OUT,16,44100,1
4559,USB IN,LINE OUT,16,44100,1
4707,USB IN,LINE OUT,16,44100,1
4567,USB IN,LINE OUT,16,44100,1
4647,USB IN,LINE OUT,16,44100,1
4498,USB IN,LINE OUT,16,44100,1
5052,USB IN,LINE OUT,16,44100,1
4677,USB IN,LINE OUT,16,44100,1
4669,USB IN,LINE OUT,16,44100,1
4574,USB IN,LINE OUT,16,44100,1
4553,USB IN,LINE OUT,16,44100,1
4667,USB IN,LINE OUT,16,44100,1
4711,USB IN,LINE OUT,16,44100,1
4678,USB IN,LINE OUT,16,44100,1
4719,USB IN,LINE OUT,16,44100,1
4674,USB IN,LINE OUT,16,44100,1
4701,USB IN,LINE OUT,16,44100,1
4713,USB IN,LINE OUT,16,44100,1
4710,USB IN,LINE OUT,16,44100,1
4673,USB IN,LINE OUT,16,44100,1
5020,USB IN,LINE OUT,16,44100,1
4650,USB IN,LINE OUT,16,44100,1
4709,USB IN,LINE OUT,16,44100,1
4568,USB IN,LINE OUT,16,44100,1
4720,USB IN,LINE OUT,16,44100,1
4748,USB IN,LINE OUT,16,44100,1
4536,USB IN,LINE OUT,16,44100,1
4533,USB IN,LINE OUT,16,44100,1
5483,USB IN,LINE OUT,16,44100,1
4570,USB IN,LINE OUT,16,44100,1
4577,USB IN,LINE OUT,16,44100,1
4572,USB IN,LINE OUT,16,44100,1
4431,USB IN,LINE OUT,16,44100,1
4455,USB IN,LINE OUT,16,44100,1
4558,USB IN,LINE OUT,16,44100,1
4511,USB IN,LINE OUT,16,44100,1
4473,USB IN,LINE OUT,16,44100,1
4560,USB IN,LINE OUT,16,44100,1
4544,USB IN,LINE OUT,16,44100,1
4541,USB IN,LINE OUT,16,44100,1
4446,USB IN,LINE OUT,16,44100,1
4693,USB IN,LINE OUT,16,44100,1
4591,USB IN,LINE OUT,16,44100,1
4581,USB IN,LINE OUT,16,44100,1
4602,USB IN,LINE OUT,16,44100,1
4616,USB IN,LINE OUT,16,44100,1
4604,USB IN,LINE OUT,16,44100,1
5487,USB IN,LINE OUT,16,44100,1
4645,USB IN,LINE OUT,16,44100,1
4589,USB IN,LINE OUT,16,44100,1
4606,USB IN,LINE OUT,16,44100,1
4576,USB IN,LINE OUT,16,44100,1
4603,USB IN,LINE OUT,16,44100,1
4648,USB IN,LINE OUT,16,44100,1
4500,USB IN,LINE OUT,16,44100,1
4407,USB IN,LINE OUT,16,44100,1
4580,USB IN,LINE OUT,16,44100,1
4619,USB IN,LINE OUT,16,44100,1
5408,USB IN,LINE OUT,16,44100,1
5489,USB IN,LINE OUT,16,44100,1
4470,USB IN,LINE OUT,16,44100,1
4497,USB IN,LINE OUT,16,44100,1
4457,USB IN,LINE OUT,16,44100,1
4536,USB IN,LINE OUT,16,44100,1
4507,USB IN,LINE OUT,16,44100,1
4528,USB IN,LINE OUT,16,44100,1
4664,USB IN,LINE OUT,16,44100,1
4582,USB IN,LINE OUT,16,44100,1
4627,USB IN,LINE OUT,16,44100,1
4712,USB IN,LINE OUT,16,44100,1
5143,USB IN,LINE OUT,16,44100,1
4634,USB IN,LINE OUT,16,44100,1
4750,USB IN,LINE OUT,16,44100,1
4563,USB IN,LINE OUT,16,44100,1
4752,USB IN,LINE OUT,16,44100,1
4602,USB IN,LINE OUT,16,44100,1
4536,USB IN,LINE OUT,16,44100,1
4524,USB IN,LINE OUT,16,44100,1
4481,USB IN,LINE OUT,16,44100,1
4409,USB IN,LINE OUT,16,44100,1
4540,USB IN,LINE OUT,16,44100,1
4482,USB IN,LINE OUT,16,44100,1
4450,USB IN,LINE OUT,16,44100,1
4700,USB IN,LINE OUT,16,44100,1
4527,USB IN,LINE OUT,16,44100,1
4462,USB IN,LINE OUT,16,44100,1
4678,USB IN,LINE OUT,16,44100,1
4684,USB IN,LINE OUT,16,44100,1
4494,USB IN,LINE OUT,16,44100,1
4761,USB IN,LINE OUT,16,44100,1
4554,USB IN,LINE OUT,16,44100,1
4691,USB IN,LINE OUT,16,44100,1
4712,USB IN,LINE OUT,16,44100,1
4706,USB IN,LINE OUT,16,44100,1
4743,USB IN,LINE OUT,16,44100,1
4484,USB IN,LINE OUT,16,44100,1
5454,USB IN,LINE OUT,16,44100,1
4745,USB IN,LINE OUT,16,44100,1
4717,USB IN,LINE OUT,16,44100,1
4483,USB IN,LINE OUT,16,44100,1
4749,USB IN,LINE OUT,16,44100,1
4699,USB IN,LINE OUT,16,44100,1
4708,USB IN,LINE OUT,16,44100,1
4738,USB IN,LINE OUT,16,44100,1
4686,USB IN,LINE OUT,16,44100,1
4750,USB IN,LINE OUT,16,44100,1
4701,USB IN,LINE OUT,16,44100,1
4715,USB IN,LINE OUT,16,44100,1
4702,USB IN,LINE OUT,16,44100,1
4744,USB IN,LINE OUT,16,44100,1
4709,USB IN,LINE OUT,16,44100,1
4701,USB IN,LINE OUT,16,44100,1
4708,USB IN,LINE OUT,16,44100,1
4727,USB IN,LINE OUT,16,44100,1
4711,USB IN,LINE OUT,16,44100,1
4704,USB IN,LINE OUT,16,44100,1
