LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
16125,USB IN,LINE OUT,96,48000,1
16206,USB IN,LINE OUT,96,48000,1
16057,USB IN,LINE OUT,96,48000,1
15981,USB IN,LINE OUT,96,48000,1
16094,USB IN,LINE OUT,96,48000,1
16055,USB IN,LINE OUT,96,48000,1
16056,USB IN,LINE OUT,96,48000,1
16090,USB IN,LINE OUT,96,48000,1
16007,USB IN,LINE OUT,96,48000,1
16097,USB IN,LINE OUT,96,48000,1
16044,USB IN,LINE OUT,96,48000,1
16114,USB IN,LINE OUT,96,48000,1
16119,USB IN,LINE OUT,96,48000,1
16213,USB IN,LINE OUT,96,48000,1
16048,USB IN,LINE OUT,96,48000,1
16192,USB IN,LINE OUT,96,48000,1
16169,USB IN,LINE OUT,96,48000,1
16069,USB IN,LINE OUT,96,48000,1
16061,USB IN,LINE OUT,96,48000,1
16070,USB IN,LINE OUT,96,48000,1
16051,USB IN,LINE OUT,96,48000,1
16046,USB IN,LINE OUT,96,48000,1
16053,USB IN,LINE OUT,96,48000,1
16055,USB IN,LINE OUT,96,48000,1
16085,USB IN,LINE OUT,96,48000,1
16166,USB IN,LINE OUT,96,48000,1
16201,USB IN,LINE OUT,96,48000,1
16093,USB IN,LINE OUT,96,48000,1
16111,USB IN,LINE OUT,96,48000,1
16051,USB IN,LINE OUT,96,48000,1
16040,USB IN,LINE OUT,96,48000,1
16118,USB IN,LINE OUT,96,48000,1
16057,USB IN,LINE OUT,96,48000,1
16112,USB IN,LINE OUT,96,48000,1
16112,USB IN,LINE OUT,96,48000,1
16235,USB IN,LINE OUT,96,48000,1
16255,USB IN,LINE OUT,96,48000,1
15972,USB IN,LINE OUT,96,48000,1
16168,USB IN,LINE OUT,96,48000,1
16203,USB IN,LINE OUT,96,48000,1
15841,USB IN,LINE OUT,96,48000,1
16100,USB IN,LINE OUT,96,48000,1
16181,USB IN,LINE OUT,96,48000,1
16184,USB IN,LINE OUT,96,48000,1
16260,USB IN,LINE OUT,96,48000,1
15960,USB IN,LINE OUT,96,48000,1
16139,USB IN,LINE OUT,96,48000,1
16659,USB IN,LINE OUT,96,48000,1
16250,USB IN,LINE OUT,96,48000,1
16047,USB IN,LINE OUT,96,48000,1
16145,USB IN,LINE OUT,96,48000,1
16065,USB IN,LINE OUT,96,48000,1
16120,USB IN,LINE OUT,96,48000,1
16067,USB IN,LINE OUT,96,48000,1
16233,USB IN,LINE OUT,96,48000,1
16233,USB IN,LINE OUT,96,48000,1
16229,USB IN,LINE OUT,96,48000,1
16221,USB IN,LINE OUT,96,48000,1
16220,USB IN,LINE OUT,96,48000,1
16219,USB IN,LINE OUT,96,48000,1
16223,USB IN,LINE OUT,96,48000,1
16215,USB IN,LINE OUT,96,48000,1
16232,USB IN,LINE OUT,96,48000,1
16162,USB IN,LINE OUT,96,48000,1
16240,USB IN,LINE OUT,96,48000,1
16081,USB IN,LINE OUT,96,48000,1
16158,USB IN,LINE OUT,96,48000,1
16099,USB IN,LINE OUT,96,48000,1
16059,USB IN,LINE OUT,96,48000,1
16063,USB IN,LINE OUT,96,48000,1
16031,USB IN,LINE OUT,96,48000,1
16184,USB IN,LINE OUT,96,48000,1
16630,USB IN,LINE OUT,96,48000,1
16221,USB IN,LINE OUT,96,48000,1
16220,USB IN,LINE OUT,96,48000,1
16106,USB IN,LINE OUT,96,48000,1
16047,USB IN,LINE OUT,96,48000,1
16107,USB IN,LINE OUT,96,48000,1
16097,USB IN,LINE OUT,96,48000,1
16129,USB IN,LINE OUT,96,48000,1
16090,USB IN,LINE OUT,96,48000,1
16038,USB IN,LINE OUT,96,48000,1
15846,USB IN,LINE OUT,96,48000,1
16184,USB IN,LINE OUT,96,48000,1
16107,USB IN,LINE OUT,96,48000,1
16615,USB IN,LINE OUT,96,48000,1
15967,USB IN,LINE OUT,96,48000,1
16103,USB IN,LINE OUT,96,48000,1
16218,USB IN,LINE OUT,96,48000,1
16039,USB IN,LINE OUT,96,48000,1
16219,USB IN,LINE OUT,96,48000,1
16065,USB IN,LINE OUT,96,48000,1
16069,USB IN,LINE OUT,96,48000,1
16051,USB IN,LINE OUT,96,48000,1
16143,USB IN,LINE OUT,96,48000,1
16086,USB IN,LINE OUT,96,48000,1
16079,USB IN,LINE OUT,96,48000,1
16184,USB IN,LINE OUT,96,48000,1
16070,USB IN,LINE OUT,96,48000,1
16623,USB IN,LINE OUT,96,48000,1
16187,USB IN,LINE OUT,96,48000,1
16185,USB IN,LINE OUT,96,48000,1
16214,USB IN,LINE OUT,96,48000,1
15934,USB IN,LINE OUT,96,48000,1
16208,USB IN,LINE OUT,96,48000,1
16090,USB IN,LINE OUT,96,48000,1
16066,USB IN,LINE OUT,96,48000,1
16098,USB IN,LINE OUT,96,48000,1
16049,USB IN,LINE OUT,96,48000,1
16069,USB IN,LINE OUT,96,48000,1
16060,USB IN,LINE OUT,96,48000,1
16091,USB IN,LINE OUT,96,48000,1
16050,USB IN,LINE OUT,96,48000,1
16186,USB IN,LINE OUT,96,48000,1
16435,USB IN,LINE OUT,96,48000,1
16094,USB IN,LINE OUT,96,48000,1
16224,USB IN,LINE OUT,96,48000,1
