LATENCY_IN_MICROS,DUT_INPUT,DUT_OUTPUT,BUFFER_SIZE,SAMPLE_RATE,CHANNELS
5465,USB IN,LINE OUT,16,44100,1
5317,USB IN,LINE OUT,16,44100,1
5138,USB IN,LINE OUT,16,44100,1
5179,USB IN,LINE OUT,16,44100,1
5586,USB IN,LINE OUT,16,44100,1
5288,USB IN,LINE OUT,16,44100,1
5262,USB IN,LINE OUT,16,44100,1
5206,USB IN,LINE OUT,16,44100,1
5290,USB IN,LINE OUT,16,44100,1
5203,USB IN,LINE OUT,16,44100,1
5268,USB IN,LINE OUT,16,44100,1
5151,USB IN,LINE OUT,16,44100,1
5362,USB IN,LINE OUT,16,44100,1
5169,USB IN,LINE OUT,16,44100,1
5729,USB IN,LINE OUT,16,44100,1
5239,USB IN,LINE OUT,16,44100,1
5113,USB IN,LINE OUT,16,44100,1
5242,USB IN,LINE OUT,16,44100,1
5282,USB IN,LINE OUT,16,44100,1
5032,USB IN,LINE OUT,16,44100,1
5378,USB IN,LINE OUT,16,44100,1
5213,USB IN,LINE OUT,16,44100,1
5783,USB IN,LINE OUT,16,44100,1
5117,USB IN,LINE OUT,16,44100,1
5476,USB IN,LINE OUT,16,44100,1
5521,USB IN,LINE OUT,16,44100,1
5253,USB IN,LINE OUT,16,44100,1
5224,USB IN,LINE OUT,16,44100,1
5583,USB IN,LINE OUT,16,44100,1
5134,USB IN,LINE OUT,16,44100,1
5474,USB IN,LINE OUT,16,44100,1
5230,USB IN,LINE OUT,16,44100,1
5353,USB IN,LINE OUT,16,44100,1
5000,USB IN,LINE OUT,16,44100,1
5373,USB IN,LINE OUT,16,44100,1
5004,USB IN,LINE OUT,16,44100,1
5429,USB IN,LINE OUT,16,44100,1
5181,USB IN,LINE OUT,16,44100,1
5201,USB IN,LINE OUT,16,44100,1
5075,USB IN,LINE OUT,16,44100,1
5047,USB IN,LINE OUT,16,44100,1
5000,USB IN,LINE OUT,16,44100,1
5654,USB IN,LINE OUT,16,44100,1
4935,USB IN,LINE OUT,16,44100,1
5405,USB IN,LINE OUT,16,44100,1
5204,USB IN,LINE OUT,16,44100,1
5197,USB IN,LINE OUT,16,44100,1
4716,USB IN,LINE OUT,16,44100,1
5307,USB IN,LINE OUT,16,44100,1
5029,USB IN,LINE OUT,16,44100,1
5309,USB IN,LINE OUT,16,44100,1
5594,USB IN,LINE OUT,16,44100,1
5369,USB IN,LINE OUT,16,44100,1
5684,USB IN,LINE OUT,16,44100,1
5125,USB IN,LINE OUT,16,44100,1
5236,USB IN,LINE OUT,16,44100,1
5151,USB IN,LINE OUT,16,44100,1
5356,USB IN,LINE OUT,16,44100,1
5055,USB IN,LINE OUT,16,44100,1
5183,USB IN,LINE OUT,16,44100,1
5242,USB IN,LINE OUT,16,44100,1
5434,USB IN,LINE OUT,16,44100,1
5046,USB IN,LINE OUT,16,44100,1
5345,USB IN,LINE OUT,16,44100,1
5154,USB IN,LINE OUT,16,44100,1
5247,USB IN,LINE OUT,16,44100,1
5088,USB IN,LINE OUT,16,44100,1
5213,USB IN,LINE OUT,16,44100,1
5135,USB IN,LINE OUT,16,44100,1
5437,USB IN,LINE OUT,16,44100,1
5223,USB IN,LINE OUT,16,44100,1
5310,USB IN,LINE OUT,16,44100,1
5250,USB IN,LINE OUT,16,44100,1
5262,USB IN,LINE OUT,16,44100,1
5014,USB IN,LINE OUT,16,44100,1
5305,USB IN,LINE OUT,16,44100,1
5323,USB IN,LINE OUT,16,44100,1
5284,USB IN,LINE OUT,16,44100,1
5094,USB IN,LINE OUT,16,44100,1
5321,USB IN,LINE OUT,16,44100,1
5119,USB IN,LINE OUT,16,44100,1
5294,USB IN,LINE OUT,16,44100,1
4916,USB IN,LINE OUT,16,44100,1
5250,USB IN,LINE OUT,16,44100,1
5134,USB IN,LINE OUT,16,44100,1
5533,USB IN,LINE OUT,16,44100,1
5020,USB IN,LINE OUT,16,44100,1
5315,USB IN,LINE OUT,16,44100,1
5064,USB IN,LINE OUT,16,44100,1
5217,USB IN,LINE OUT,16,44100,1
5050,USB IN,LINE OUT,16,44100,1
5402,USB IN,LINE OUT,16,44100,1
5224,USB IN,LINE OUT,16,44100,1
5431,USB IN,LINE OUT,16,44100,1
5147,USB IN,LINE OUT,16,44100,1
5317,USB IN,LINE OUT,16,44100,1
5356,USB IN,LINE OUT,16,44100,1
5648,USB IN,LINE OUT,16,44100,1
5317,USB IN,LINE OUT,16,44100,1
5114,USB IN,LINE OUT,16,44100,1
5926,USB IN,LINE OUT,16,44100,1
5079,USB IN,LINE OUT,16,44100,1
5230,USB IN,LINE OUT,16,44100,1
5072,USB IN,LINE OUT,16,44100,1
5374,USB IN,LINE OUT,16,44100,1
5224,USB IN,LINE OUT,16,44100,1
5391,USB IN,LINE OUT,16,44100,1
5101,USB IN,LINE OUT,16,44100,1
5582,USB IN,LINE OUT,16,44100,1
5139,USB IN,LINE OUT,16,44100,1
4832,USB IN,LINE OUT,16,44100,1
5084,USB IN,LINE OUT,16,44100,1
5355,USB IN,LINE OUT,16,44100,1
5108,USB IN,LINE OUT,16,44100,1
5318,USB IN,LINE OUT,16,44100,1
5175,USB IN,LINE OUT,16,44100,1
5477,USB IN,LINE OUT,16,44100,1
5257,USB IN,LINE OUT,16,44100,1
5428,USB IN,LINE OUT,16,44100,1
5114,USB IN,LINE OUT,16,44100,1
5357,USB IN,LINE OUT,16,44100,1
5174,USB IN,LINE OUT,16,44100,1
5242,USB IN,LINE OUT,16,44100,1
5114,USB IN,LINE OUT,16,44100,1
5012,USB IN,LINE OUT,16,44100,1
5143,USB IN,LINE OUT,16,44100,1
5237,USB IN,LINE OUT,16,44100,1
5133,USB IN,LINE OUT,16,44100,1
5288,USB IN,LINE OUT,16,44100,1
5169,USB IN,LINE OUT,16,44100,1
5253,USB IN,LINE OUT,16,44100,1
5378,USB IN,LINE OUT,16,44100,1
5406,USB IN,LINE OUT,16,44100,1
5079,USB IN,LINE OUT,16,44100,1
5269,USB IN,LINE OUT,16,44100,1
5163,USB IN,LINE OUT,16,44100,1
5396,USB IN,LINE OUT,16,44100,1
5100,USB IN,LINE OUT,16,44100,1
5228,USB IN,LINE OUT,16,44100,1
5344,USB IN,LINE OUT,16,44100,1
5116,USB IN,LINE OUT,16,44100,1
5233,USB IN,LINE OUT,16,44100,1
5027,USB IN,LINE OUT,16,44100,1
5273,USB IN,LINE OUT,16,44100,1
5183,USB IN,LINE OUT,16,44100,1
5437,USB IN,LINE OUT,16,44100,1
5076,USB IN,LINE OUT,16,44100,1
5211,USB IN,LINE OUT,16,44100,1
5139,USB IN,LINE OUT,16,44100,1
5232,USB IN,LINE OUT,16,44100,1
5104,USB IN,LINE OUT,16,44100,1
5000,USB IN,LINE OUT,16,44100,1
5200,USB IN,LINE OUT,16,44100,1
4816,USB IN,LINE OUT,16,44100,1
5030,USB IN,LINE OUT,16,44100,1
5229,USB IN,LINE OUT,16,44100,1
5490,USB IN,LINE OUT,16,44100,1
5324,USB IN,LINE OUT,16,44100,1
5030,USB IN,LINE OUT,16,44100,1
5743,USB IN,LINE OUT,16,44100,1
5603,USB IN,LINE OUT,16,44100,1
5559,USB IN,LINE OUT,16,44100,1
5716,USB IN,LINE OUT,16,44100,1
5823,USB IN,LINE OUT,16,44100,1
5631,USB IN,LINE OUT,16,44100,1
5760,USB IN,LINE OUT,16,44100,1
5675,USB IN,LINE OUT,16,44100,1
5681,USB IN,LINE OUT,16,44100,1
5576,USB IN,LINE OUT,16,44100,1
5677,USB IN,LINE OUT,16,44100,1
5584,USB IN,LINE OUT,16,44100,1
5721,USB IN,LINE OUT,16,44100,1
5484,USB IN,LINE OUT,16,44100,1
5682,USB IN,LINE OUT,16,44100,1
5564,USB IN,LINE OUT,16,44100,1
5538,USB IN,LINE OUT,16,44100,1
5469,USB IN,LINE OUT,16,44100,1
5715,USB IN,LINE OUT,16,44100,1
5681,USB IN,LINE OUT,16,44100,1
5619,USB IN,LINE OUT,16,44100,1
4958,USB IN,LINE OUT,16,44100,1
5549,USB IN,LINE OUT,16,44100,1
5371,USB IN,LINE OUT,16,44100,1
5070,USB IN,LINE OUT,16,44100,1
5538,USB IN,LINE OUT,16,44100,1
5247,USB IN,LINE OUT,16,44100,1
5641,USB IN,LINE OUT,16,44100,1
5285,USB IN,LINE OUT,16,44100,1
5541,USB IN,LINE OUT,16,44100,1
5363,USB IN,LINE OUT,16,44100,1
5628,USB IN,LINE OUT,16,44100,1
5256,USB IN,LINE OUT,16,44100,1
5621,USB IN,LINE OUT,16,44100,1
5190,USB IN,LINE OUT,16,44100,1
5701,USB IN,LINE OUT,16,44100,1
5356,USB IN,LINE OUT,16,44100,1
5363,USB IN,LINE OUT,16,44100,1
5274,USB IN,LINE OUT,16,44100,1
5256,USB IN,LINE OUT,16,44100,1
5468,USB IN,LINE OUT,16,44100,1
5237,USB IN,LINE OUT,16,44100,1
5347,USB IN,LINE OUT,16,44100,1
5240,USB IN,LINE OUT,16,44100,1
5335,USB IN,LINE OUT,16,44100,1
5238,USB IN,LINE OUT,16,44100,1
5356,USB IN,LINE OUT,16,44100,1
5615,USB IN,LINE OUT,16,44100,1
5072,USB IN,LINE OUT,16,44100,1
5609,USB IN,LINE OUT,16,44100,1
5287,USB IN,LINE OUT,16,44100,1
4980,USB IN,LINE OUT,16,44100,1
5516,USB IN,LINE OUT,16,44100,1
5237,USB IN,LINE OUT,16,44100,1
5363,USB IN,LINE OUT,16,44100,1
5458,USB IN,LINE OUT,16,44100,1
5389,USB IN,LINE OUT,16,44100,1
5361,USB IN,LINE OUT,16,44100,1
5202,USB IN,LINE OUT,16,44100,1
5088,USB IN,LINE OUT,16,44100,1
5351,USB IN,LINE OUT,16,44100,1
5057,USB IN,LINE OUT,16,44100,1
5241,USB IN,LINE OUT,16,44100,1
5213,USB IN,LINE OUT,16,44100,1
5254,USB IN,LINE OUT,16,44100,1
5015,USB IN,LINE OUT,16,44100,1
5243,USB IN,LINE OUT,16,44100,1
5119,USB IN,LINE OUT,16,44100,1
5243,USB IN,LINE OUT,16,44100,1
5005,USB IN,LINE OUT,16,44100,1
5418,USB IN,LINE OUT,16,44100,1
5121,USB IN,LINE OUT,16,44100,1
5316,USB IN,LINE OUT,16,44100,1
5223,USB IN,LINE OUT,16,44100,1
5257,USB IN,LINE OUT,16,44100,1
5158,USB IN,LINE OUT,16,44100,1
5213,USB IN,LINE OUT,16,44100,1
5042,USB IN,LINE OUT,16,44100,1
5291,USB IN,LINE OUT,16,44100,1
5274,USB IN,LINE OUT,16,44100,1
5158,USB IN,LINE OUT,16,44100,1
4995,USB IN,LINE OUT,16,44100,1
5117,USB IN,LINE OUT,16,44100,1
5055,USB IN,LINE OUT,16,44100,1
5275,USB IN,LINE OUT,16,44100,1
4985,USB IN,LINE OUT,16,44100,1
5359,USB IN,LINE OUT,16,44100,1
5143,USB IN,LINE OUT,16,44100,1
5433,USB IN,LINE OUT,16,44100,1
4893,USB IN,LINE OUT,16,44100,1
5217,USB IN,LINE OUT,16,44100,1
5264,USB IN,LINE OUT,16,44100,1
5242,USB IN,LINE OUT,16,44100,1
5056,USB IN,LINE OUT,16,44100,1
5234,USB IN,LINE OUT,16,44100,1
5094,USB IN,LINE OUT,16,44100,1
5203,USB IN,LINE OUT,16,44100,1
5126,USB IN,LINE OUT,16,44100,1
5114,USB IN,LINE OUT,16,44100,1
5189,USB IN,LINE OUT,16,44100,1
5149,USB IN,LINE OUT,16,44100,1
5033,USB IN,LINE OUT,16,44100,1
5092,USB IN,LINE OUT,16,44100,1
5034,USB IN,LINE OUT,16,44100,1
5115,USB IN,LINE OUT,16,44100,1
5487,USB IN,LINE OUT,16,44100,1
5417,USB IN,LINE OUT,16,44100,1
5089,USB IN,LINE OUT,16,44100,1
5356,USB IN,LINE OUT,16,44100,1
5274,USB IN,LINE OUT,16,44100,1
5005,USB IN,LINE OUT,16,44100,1
5279,USB IN,LINE OUT,16,44100,1
4974,USB IN,LINE OUT,16,44100,1
5424,USB IN,LINE OUT,16,44100,1
5648,USB IN,LINE OUT,16,44100,1
5438,USB IN,LINE OUT,16,44100,1
5644,USB IN,LINE OUT,16,44100,1
5301,USB IN,LINE OUT,16,44100,1
5234,USB IN,LINE OUT,16,44100,1
5548,USB IN,LINE OUT,16,44100,1
5583,USB IN,LINE OUT,16,44100,1
5444,USB IN,LINE OUT,16,44100,1
5110,USB IN,LINE OUT,16,44100,1
5366,USB IN,LINE OUT,16,44100,1
5237,USB IN,LINE OUT,16,44100,1
5261,USB IN,LINE OUT,16,44100,1
5751,USB IN,LINE OUT,16,44100,1
5576,USB IN,LINE OUT,16,44100,1
5718,USB IN,LINE OUT,16,44100,1
5369,USB IN,LINE OUT,16,44100,1
5203,USB IN,LINE OUT,16,44100,1
5385,USB IN,LINE OUT,16,44100,1
5283,USB IN,LINE OUT,16,44100,1
5556,USB IN,LINE OUT,16,44100,1
5163,USB IN,LINE OUT,16,44100,1
5368,USB IN,LINE OUT,16,44100,1
5430,USB IN,LINE OUT,16,44100,1
4944,USB IN,LINE OUT,16,44100,1
5307,USB IN,LINE OUT,16,44100,1
5546,USB IN,LINE OUT,16,44100,1
5455,USB IN,LINE OUT,16,44100,1
5536,USB IN,LINE OUT,16,44100,1
5488,USB IN,LINE OUT,16,44100,1
5006,USB IN,LINE OUT,16,44100,1
5582,USB IN,LINE OUT,16,44100,1
5256,USB IN,LINE OUT,16,44100,1
5637,USB IN,LINE OUT,16,44100,1
5371,USB IN,LINE OUT,16,44100,1
6091,USB IN,LINE OUT,16,44100,1
5302,USB IN,LINE OUT,16,44100,1
5531,USB IN,LINE OUT,16,44100,1
5277,USB IN,LINE OUT,16,44100,1
5507,USB IN,LINE OUT,16,44100,1
5357,USB IN,LINE OUT,16,44100,1
5752,USB IN,LINE OUT,16,44100,1
5240,USB IN,LINE OUT,16,44100,1
5440,USB IN,LINE OUT,16,44100,1
4947,USB IN,LINE OUT,16,44100,1
5447,USB IN,LINE OUT,16,44100,1
5199,USB IN,LINE OUT,16,44100,1
5534,USB IN,LINE OUT,16,44100,1
5116,USB IN,LINE OUT,16,44100,1
5394,USB IN,LINE OUT,16,44100,1
5266,USB IN,LINE OUT,16,44100,1
5516,USB IN,LINE OUT,16,44100,1
5113,USB IN,LINE OUT,16,44100,1
5503,USB IN,LINE OUT,16,44100,1
5156,USB IN,LINE OUT,16,44100,1
5610,USB IN,LINE OUT,16,44100,1
5249,USB IN,LINE OUT,16,44100,1
5617,USB IN,LINE OUT,16,44100,1
5360,USB IN,LINE OUT,16,44100,1
5885,USB IN,LINE OUT,16,44100,1
5362,USB IN,LINE OUT,16,44100,1
5045,USB IN,LINE OUT,16,44100,1
5408,USB IN,LINE OUT,16,44100,1
4998,USB IN,LINE OUT,16,44100,1
5174,USB IN,LINE OUT,16,44100,1
4977,USB IN,LINE OUT,16,44100,1
4761,USB IN,LINE OUT,16,44100,1
5169,USB IN,LINE OUT,16,44100,1
5349,USB IN,LINE OUT,16,44100,1
4831,USB IN,LINE OUT,16,44100,1
5299,USB IN,LINE OUT,16,44100,1
4988,USB IN,LINE OUT,16,44100,1
5064,USB IN,LINE OUT,16,44100,1
5201,USB IN,LINE OUT,16,44100,1
5478,USB IN,LINE OUT,16,44100,1
5028,USB IN,LINE OUT,16,44100,1
